Timestamp,Package_Temp(°C),Core0_Temp(°C),Core1_Temp(°C),Core2_Temp(°C),Core3_Temp(°C),Core4_Temp(°C),Core5_Temp(°C),Core6_Temp(°C),Core7_Temp(°C),Fan_Speed(RPM),task_level,optimized_task_level
2025-07-31 12:50:21,60.0,51.0,51.0,52.0,52.0,60.0,51.0,58.0,51.0,1024,3.4,5.674297970053884
2025-07-31 12:50:22,51.0,50.0,49.0,50.0,49.0,50.0,49.0,50.0,49.0,1023,3.4,5.708283606610621
2025-07-31 12:50:23,51.0,50.0,50.0,50.0,49.0,50.0,49.0,50.0,49.0,1023,3.4,5.750362257389192
2025-07-31 12:50:24,72.0,66.0,64.0,69.0,72.0,68.0,72.0,72.0,72.0,1017,3.4,5.669302494944997
2025-07-31 12:50:25,83.0,83.0,76.0,83.0,75.0,83.0,77.0,79.0,82.0,1013,3.4,5.527763845972655
2025-07-31 12:50:26,80.0,79.0,73.0,80.0,78.0,80.0,80.0,79.0,78.0,1011,3.4,5.404232667227883
2025-07-31 12:50:27,86.0,80.0,72.0,85.0,84.0,85.0,86.0,82.0,76.0,1013,3.4,5.270194908033786
2025-07-31 12:50:28,87.0,81.0,80.0,84.0,84.0,85.0,82.0,82.0,87.0,1057,3.4,5.132225785460881
2025-07-31 12:50:29,89.0,88.0,80.0,87.0,89.0,86.0,85.0,85.0,84.0,1148,3.4,4.986742406198255
2025-07-31 12:50:30,91.0,85.0,79.0,91.0,84.0,91.0,90.0,87.0,84.0,1247,3.4,4.843409511465506
2025-07-31 12:50:31,94.0,85.0,85.0,88.0,82.0,89.0,94.0,89.0,90.0,1329,3.4,4.698494577176931
2025-07-31 12:50:33,93.0,89.0,87.0,89.0,93.0,89.0,89.0,88.0,88.0,1412,3.4,4.552490834656544
2025-07-31 12:50:34,92.0,90.0,81.0,92.0,85.0,92.0,87.0,85.0,87.0,1502,3.4,4.424272093695311
2025-07-31 12:50:35,94.0,93.0,79.0,91.0,83.0,91.0,89.0,93.0,85.0,1592,3.4,4.298439063019922
2025-07-31 12:50:36,94.0,86.0,85.0,89.0,93.0,88.0,94.0,88.0,93.0,1682,3.4,4.168781692379012
2025-07-31 12:50:37,89.0,83.0,79.0,89.0,83.0,86.0,84.0,85.0,84.0,1776,3.4,4.080929551777685
2025-07-31 12:50:38,90.0,85.0,78.0,90.0,82.0,88.0,84.0,84.0,83.0,1865,3.4,3.9977510410765884
2025-07-31 12:50:39,90.0,88.0,79.0,85.0,84.0,90.0,84.0,86.0,85.0,1957,3.4,3.913912946683176
2025-07-31 12:50:40,87.0,83.0,82.0,85.0,85.0,85.0,81.0,87.0,87.0,2046,3.4,3.8399611051820703
2025-07-31 12:50:41,89.0,83.0,82.0,88.0,82.0,84.0,87.0,89.0,83.0,2130,3.4,3.7680438907745204
2025-07-31 12:50:42,88.0,85.0,81.0,87.0,81.0,86.0,88.0,84.0,83.0,2216,3.4,3.7028894498683878
2025-07-31 12:50:43,89.0,87.0,79.0,85.0,83.0,90.0,83.0,84.0,84.0,2304,3.4,3.6416823222264845
2025-07-31 12:50:44,87.0,83.0,78.0,85.0,86.0,85.0,84.0,84.0,87.0,2390,3.4,3.586633823189629
2025-07-31 12:50:45,86.0,85.0,77.0,84.0,83.0,86.0,82.0,83.0,84.0,2477,3.4,3.541629275050026
2025-07-31 12:50:46,89.0,83.0,79.0,89.0,81.0,86.0,87.0,86.0,82.0,2497,3.4,3.4921621322943572
2025-07-31 12:50:47,89.0,86.0,81.0,85.0,84.0,89.0,84.0,86.0,80.0,2510,3.4,3.443988932190128
2025-07-31 12:50:48,87.0,87.0,82.0,84.0,87.0,84.0,82.0,86.0,85.0,2523,3.4,3.397016576103742
2025-07-31 12:50:49,88.0,85.0,80.0,84.0,83.0,86.0,82.0,85.0,88.0,2597,3.4,3.356178678350325
2025-07-31 12:50:50,88.0,84.0,79.0,88.0,82.0,88.0,87.0,84.0,88.0,2625,3.4,3.3120258393526893
2025-07-31 12:50:51,89.0,84.0,79.0,88.0,85.0,89.0,87.0,86.0,83.0,2627,3.4,3.269454750918353
2025-07-31 12:50:52,89.0,87.0,81.0,87.0,81.0,88.0,83.0,89.0,82.0,2647,3.4,3.2317539747980133
2025-07-31 12:50:53,87.0,85.0,79.0,87.0,83.0,87.0,85.0,85.0,84.0,2649,3.4,3.19882525223944
2025-07-31 12:50:54,87.0,84.0,81.0,87.0,86.0,87.0,86.0,85.0,85.0,2660,3.4,3.163097576355336
2025-07-31 12:50:55,87.0,86.0,81.0,85.0,87.0,87.0,87.0,87.0,86.0,2666,3.4,3.1253396187038414
2025-07-31 12:50:56,88.0,88.0,80.0,87.0,82.0,87.0,88.0,86.0,82.0,2675,3.4,3.094686996967211
2025-07-31 12:50:57,90.0,84.0,84.0,89.0,82.0,86.0,84.0,90.0,83.0,2683,3.4,3.06438152586878
2025-07-31 12:50:58,88.0,85.0,79.0,88.0,81.0,87.0,85.0,85.0,84.0,2694,3.4,3.042739102689155
2025-07-31 12:50:59,88.0,85.0,80.0,87.0,88.0,87.0,83.0,87.0,85.0,2702,3.4,3.0163098199291354
2025-07-31 12:51:00,89.0,89.0,82.0,88.0,83.0,85.0,88.0,87.0,87.0,2710,3.4,2.985869870635439
2025-07-31 12:51:01,89.0,87.0,83.0,89.0,83.0,88.0,85.0,88.0,88.0,2719,3.4,2.9555521758993506
2025-07-31 12:51:02,87.0,85.0,80.0,87.0,87.0,87.0,86.0,86.0,85.0,2728,3.4,2.933637598174876
2025-07-31 12:51:03,89.0,85.0,79.0,87.0,89.0,87.0,88.0,85.0,83.0,2739,3.4,2.9134012283757276
2025-07-31 12:51:04,90.0,88.0,81.0,90.0,83.0,87.0,90.0,87.0,86.0,2746,3.4,2.8872477736940385
2025-07-31 12:51:05,89.0,88.0,83.0,87.0,83.0,89.0,84.0,88.0,86.0,2750,3.4,2.8659998014127734
2025-07-31 12:51:06,87.0,85.0,80.0,86.0,85.0,87.0,86.0,85.0,84.0,2762,3.4,2.854622819297654
2025-07-31 12:51:07,89.0,85.0,79.0,87.0,85.0,86.0,89.0,86.0,85.0,2770,3.4,2.8413575223927863
