Timestamp,Package_Temp(°C),Core0_Temp(°C),Core1_Temp(°C),Core2_Temp(°C),Core3_Temp(°C),Core4_Temp(°C),Core5_Temp(°C),Core6_Temp(°C),Core7_Temp(°C),Fan_Speed(RPM),task_level
2025-07-31 12:50:21,60.0,51.0,51.0,52.0,52.0,60.0,51.0,58.0,51.0,1024,4.93
2025-07-31 12:50:22,51.0,50.0,49.0,50.0,49.0,50.0,49.0,50.0,49.0,1023,3.51
2025-07-31 12:50:23,51.0,50.0,50.0,50.0,49.0,50.0,49.0,50.0,49.0,1023,3.46
2025-07-31 12:50:24,72.0,66.0,64.0,69.0,72.0,68.0,72.0,72.0,72.0,1017,82.78
2025-07-31 12:50:25,83.0,83.0,76.0,83.0,75.0,83.0,77.0,79.0,82.0,1013,83.45
2025-07-31 12:50:26,80.0,79.0,73.0,80.0,78.0,80.0,80.0,79.0,78.0,1011,84.74
2025-07-31 12:50:27,86.0,80.0,72.0,85.0,84.0,85.0,86.0,82.0,76.0,1013,84.74
2025-07-31 12:50:28,87.0,81.0,80.0,84.0,84.0,85.0,82.0,82.0,87.0,1057,81.42
2025-07-31 12:50:29,89.0,88.0,80.0,87.0,89.0,86.0,85.0,85.0,84.0,1148,81.71
2025-07-31 12:50:30,91.0,85.0,79.0,91.0,84.0,91.0,90.0,87.0,84.0,1247,80.46
2025-07-31 12:50:31,94.0,85.0,85.0,88.0,82.0,89.0,94.0,89.0,90.0,1329,80.7
2025-07-31 12:50:33,93.0,89.0,87.0,89.0,93.0,89.0,89.0,88.0,88.0,1412,81.16
2025-07-31 12:50:34,92.0,90.0,81.0,92.0,85.0,92.0,87.0,85.0,87.0,1502,80.55
2025-07-31 12:50:35,94.0,93.0,79.0,91.0,83.0,91.0,89.0,93.0,85.0,1592,61.56
2025-07-31 12:50:36,94.0,86.0,85.0,89.0,93.0,88.0,94.0,88.0,93.0,1682,61.78
2025-07-31 12:50:37,89.0,83.0,79.0,89.0,83.0,86.0,84.0,85.0,84.0,1776,62.36
2025-07-31 12:50:38,90.0,85.0,78.0,90.0,82.0,88.0,84.0,84.0,83.0,1865,61.82
2025-07-31 12:50:39,90.0,88.0,79.0,85.0,84.0,90.0,84.0,86.0,85.0,1957,61.75
2025-07-31 12:50:40,87.0,83.0,82.0,85.0,85.0,85.0,81.0,87.0,87.0,2046,61.8
2025-07-31 12:50:41,89.0,83.0,82.0,88.0,82.0,84.0,87.0,89.0,83.0,2130,61.78
2025-07-31 12:50:42,88.0,85.0,81.0,87.0,81.0,86.0,88.0,84.0,83.0,2216,61.73
2025-07-31 12:50:43,89.0,87.0,79.0,85.0,83.0,90.0,83.0,84.0,84.0,2304,61.74
2025-07-31 12:50:44,87.0,83.0,78.0,85.0,86.0,85.0,84.0,84.0,87.0,2390,61.77
2025-07-31 12:50:45,86.0,85.0,77.0,84.0,83.0,86.0,82.0,83.0,84.0,2477,61.78
2025-07-31 12:50:46,89.0,83.0,79.0,89.0,81.0,86.0,87.0,86.0,82.0,2497,61.68
2025-07-31 12:50:47,89.0,86.0,81.0,85.0,84.0,89.0,84.0,86.0,80.0,2510,61.76
2025-07-31 12:50:48,87.0,87.0,82.0,84.0,87.0,84.0,82.0,86.0,85.0,2523,61.71
2025-07-31 12:50:49,88.0,85.0,80.0,84.0,83.0,86.0,82.0,85.0,88.0,2597,61.78
