Timestamp,Package_Temp(°C),Core0_Temp(°C),Core1_Temp(°C),Core2_Temp(°C),Core3_Temp(°C),Core4_Temp(°C),Core5_Temp(°C),Core6_Temp(°C),Core7_Temp(°C),Fan_Speed(RPM),task_level,normalized_task
2025-07-31 12:44:09,53.0,45.0,49.0,47.0,44.0,46.0,44.0,53.0,47.0,1013,4.1,0.012490815576781774
2025-07-31 12:44:10,45.0,44.0,43.0,44.0,43.0,44.0,44.0,44.0,43.0,1012,5.06,0.0242468772961058
2025-07-31 12:44:11,64.0,63.0,51.0,63.0,55.0,64.0,53.0,59.0,51.0,1008,3.85,0.009429341170707813
2025-07-31 12:44:12,65.0,63.0,60.0,63.0,59.0,61.0,62.0,62.0,62.0,1009,3.22,0.0017144256674014222
2025-07-31 12:44:13,55.0,55.0,52.0,55.0,54.0,55.0,54.0,54.0,53.0,1005,16.76,0.1675238795003674
2025-07-31 12:44:14,53.0,52.0,51.0,53.0,51.0,53.0,51.0,53.0,51.0,1008,27.9,0.30394317903502327
2025-07-31 12:44:15,52.0,51.0,48.0,51.0,50.0,52.0,49.0,52.0,49.0,1010,32.9,0.3651726671565026
2025-07-31 12:44:16,62.0,56.0,55.0,62.0,61.0,60.0,59.0,58.0,56.0,1006,37.85,0.42578986039676714
2025-07-31 12:44:17,56.0,56.0,53.0,55.0,54.0,56.0,56.0,55.0,56.0,1009,29.06,0.3181484202792064
2025-07-31 12:44:18,65.0,64.0,61.0,64.0,63.0,64.0,53.0,65.0,63.0,1010,26.25,0.2837374479549351
2025-07-31 12:44:19,56.0,55.0,54.0,57.0,55.0,56.0,55.0,55.0,54.0,1006,43.79,0.4985304922850845
2025-07-31 12:44:20,53.0,52.0,51.0,53.0,52.0,53.0,51.0,53.0,52.0,1009,20.83,0.21736468283125154
2025-07-31 12:44:21,52.0,52.0,50.0,51.0,51.0,52.0,49.0,52.0,50.0,1010,32.33,0.35819250551065396
2025-07-31 12:44:22,70.0,65.0,60.0,70.0,65.0,70.0,65.0,67.0,63.0,1006,25.25,0.27149155033063926
2025-07-31 12:44:23,55.0,53.0,52.0,53.0,52.0,55.0,52.0,53.0,52.0,1008,33.1,0.3676218466813618
2025-07-31 12:44:24,53.0,52.0,50.0,52.0,51.0,53.0,51.0,53.0,51.0,1009,29.64,0.3252510409012981
2025-07-31 12:44:25,67.0,65.0,61.0,67.0,65.0,67.0,66.0,65.0,65.0,1007,36.97,0.41501347048738674
2025-07-31 12:44:27,55.0,54.0,52.0,54.0,54.0,55.0,53.0,54.0,52.0,1008,31.14,0.3436198873377419
2025-07-31 12:44:28,56.0,54.0,52.0,55.0,54.0,55.0,54.0,54.0,54.0,1007,20.28,0.21062943913788884
2025-07-31 12:44:29,67.0,66.0,62.0,67.0,65.0,66.0,65.0,66.0,65.0,1010,38.96,0.4393828067597355
2025-07-31 12:44:30,55.0,55.0,53.0,54.0,54.0,56.0,53.0,54.0,53.0,1008,34.14,0.3803575802106295
2025-07-31 12:44:31,68.0,67.0,64.0,68.0,65.0,68.0,66.0,68.0,66.0,1010,30.02,0.32990448199853045
2025-07-31 12:44:32,53.0,52.0,51.0,52.0,52.0,53.0,51.0,52.0,51.0,1010,24.14,0.2578986039676709
2025-07-31 12:44:33,71.0,68.0,67.0,70.0,66.0,69.0,65.0,70.0,70.0,1008,44.94,0.5126132745530247
2025-07-31 12:44:34,54.0,53.0,51.0,54.0,52.0,53.0,52.0,54.0,52.0,1009,29.72,0.32623071271124177
2025-07-31 12:44:35,54.0,53.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,1009,23.54,0.25055106539309335
2025-07-31 12:44:36,72.0,68.0,62.0,67.0,71.0,68.0,66.0,67.0,72.0,1008,39.72,0.44868968895420036
2025-07-31 12:44:37,56.0,55.0,53.0,55.0,54.0,56.0,55.0,55.0,54.0,1008,32.89,0.3650502081802597
2025-07-31 12:44:38,54.0,54.0,52.0,54.0,53.0,54.0,53.0,54.0,52.0,1010,25.28,0.27185892725936817
2025-07-31 12:44:39,62.0,62.0,59.0,63.0,61.0,63.0,62.0,62.0,62.0,1011,25.18,0.27063433749693855
2025-07-31 12:44:40,59.0,58.0,55.0,59.0,55.0,59.0,56.0,57.0,55.0,1007,40.36,0.4565270634337497
2025-07-31 12:44:41,57.0,57.0,54.0,56.0,55.0,57.0,55.0,57.0,55.0,1011,29.06,0.3181484202792064
2025-07-31 12:44:42,54.0,53.0,52.0,53.0,52.0,53.0,52.0,53.0,52.0,1010,28.49,0.3111682586333578
2025-07-31 12:44:43,70.0,69.0,65.0,70.0,68.0,70.0,68.0,68.0,68.0,1008,36.25,0.40619642419789376
2025-07-31 12:44:44,55.0,54.0,53.0,55.0,54.0,56.0,54.0,55.0,54.0,1008,33.29,0.369948567229978
2025-07-31 12:44:45,57.0,55.0,54.0,56.0,54.0,57.0,55.0,56.0,55.0,1008,28.7,0.31373989713445993
2025-07-31 12:44:46,54.0,53.0,51.0,53.0,52.0,54.0,51.0,53.0,52.0,1010,25.12,0.2698995836394808
2025-07-31 12:44:47,62.0,59.0,57.0,62.0,60.0,62.0,61.0,63.0,60.0,1008,35.94,0.402400195934362
2025-07-31 12:44:48,59.0,57.0,54.0,59.0,55.0,57.0,56.0,56.0,56.0,1008,23.83,0.2541023757041391
2025-07-31 12:44:49,54.0,53.0,53.0,54.0,52.0,54.0,52.0,54.0,52.0,1010,37.57,0.4223610090619643
2025-07-31 12:44:50,61.0,59.0,57.0,60.0,59.0,61.0,60.0,62.0,59.0,1008,28.34,0.30933137398971344
2025-07-31 12:44:51,56.0,55.0,53.0,56.0,54.0,56.0,54.0,55.0,55.0,1010,32.82,0.36419299534655897
2025-07-31 12:44:52,55.0,54.0,52.0,54.0,52.0,55.0,53.0,55.0,52.0,1010,32.47,0.3599069311780554
2025-07-31 12:44:53,70.0,68.0,66.0,70.0,68.0,69.0,69.0,70.0,69.0,1009,33.72,0.3752143032084252
2025-07-31 12:44:54,56.0,55.0,53.0,55.0,54.0,56.0,54.0,55.0,53.0,1010,38.92,0.4388929708547637
2025-07-31 12:44:55,57.0,56.0,54.0,56.0,56.0,57.0,56.0,56.0,55.0,1008,19.74,0.20401665442076902
2025-07-31 12:44:56,54.0,53.0,52.0,54.0,52.0,54.0,52.0,54.0,52.0,1011,39.33,0.44391378888072497
