Timestamp,Elapsed(s),Power(W),Fan(RPM),Temp_core0(C),Temp_core1(C),Temp_core2(C),Temp_core3(C),Temp_core4(C),Temp_core5(C),Temp_core6(C),Temp_core7(C)
17:15:24,1.0,3.10,1001,36.0,35.0,35.0,36.0,34.0,36.0,34.0,36.0
17:15:25,2.0,3.50,1000,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:26,3.0,5.40,1000,36.0,35.0,35.0,36.0,35.0,36.0,35.0,35.0
17:15:27,4.0,3.31,1000,37.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:15:28,5.0,3.32,1000,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:15:29,6.0,8.34,1001,37.0,36.0,35.0,36.0,35.0,37.0,35.0,36.0
17:15:30,7.0,3.57,1001,37.0,36.0,36.0,36.0,36.0,37.0,35.0,36.0
17:15:31,8.0,3.25,1000,37.0,35.0,35.0,36.0,35.0,37.0,34.0,36.0
17:15:32,9.0,3.13,1000,36.0,35.0,35.0,36.0,35.0,37.0,35.0,35.0
17:15:33,10.0,3.12,1000,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:34,11.0,3.66,1000,37.0,36.0,35.0,35.0,35.0,37.0,34.0,35.0
17:15:35,12.0,3.09,1001,36.0,35.0,36.0,36.0,35.0,36.0,35.0,35.0
17:15:36,13.0,3.27,1001,37.0,35.0,35.0,35.0,34.0,36.0,35.0,35.0
17:15:37,14.1,3.44,1000,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:15:38,15.1,3.06,1001,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:15:39,16.1,3.52,1001,36.0,35.0,35.0,36.0,35.0,36.0,35.0,35.0
17:15:40,17.1,3.05,1000,37.0,35.0,35.0,35.0,35.0,37.0,34.0,35.0
17:15:41,18.1,3.16,1001,36.0,35.0,34.0,36.0,35.0,36.0,35.0,35.0
17:15:42,19.1,3.15,1000,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:43,20.1,3.04,1000,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:44,21.1,3.46,1000,36.0,34.0,35.0,35.0,35.0,37.0,35.0,35.0
17:15:45,22.1,3.16,1000,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:15:46,23.1,3.32,1001,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:15:47,24.1,3.27,1001,36.0,35.0,35.0,35.0,35.0,36.0,34.0,36.0
17:15:48,25.1,3.18,1000,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:49,26.1,3.79,1000,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:15:50,27.1,5.07,1000,37.0,35.0,35.0,36.0,35.0,37.0,35.0,35.0
17:15:51,28.1,3.51,1001,37.0,35.0,35.0,36.0,35.0,37.0,34.0,35.0
17:15:52,29.1,3.29,1001,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:15:53,30.1,3.24,1001,36.0,34.0,35.0,35.0,35.0,36.0,34.0,35.0
17:15:54,31.1,3.43,1001,36.0,35.0,35.0,36.0,35.0,36.0,34.0,34.0
17:15:55,32.1,3.21,1001,37.0,35.0,35.0,36.0,34.0,37.0,33.0,35.0
17:15:56,33.1,3.17,1001,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:15:57,34.1,3.06,1001,36.0,35.0,35.0,34.0,35.0,36.0,34.0,34.0
17:15:58,35.1,3.07,1001,36.0,35.0,34.0,35.0,34.0,36.0,34.0,35.0
17:15:59,36.1,3.53,1001,36.0,35.0,35.0,36.0,35.0,36.0,33.0,35.0
17:16:00,37.1,3.18,1001,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:01,38.2,3.26,1002,36.0,35.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:02,39.2,3.25,1002,37.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:03,40.2,3.30,1001,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
