Timestamp,Elapsed(s),Power(W)
21:37:56,1.0,4.93
21:37:57,2.0,3.51
21:37:58,3.0,3.46
21:37:59,4.0,3.44
21:38:00,5.0,3.45
21:38:01,6.0,4.48
21:38:02,7.0,84.74
21:38:03,8.0,81.42
21:38:04,9.0,81.71
21:38:05,10.0,80.46
21:38:06,11.0,80.70
21:38:07,12.0,81.16
21:38:08,13.0,80.55
21:38:09,14.0,80.43
21:38:10,15.0,80.27
21:38:11,16.0,62.36
21:38:12,17.0,61.82
21:38:13,18.0,61.75
21:38:14,19.0,61.80
21:38:15,20.0,61.78
21:38:16,21.0,61.73
21:38:17,22.0,61.74
21:38:18,23.0,61.77
21:38:19,24.0,61.78
21:38:20,25.0,61.68
21:38:21,26.0,61.76
21:38:22,27.0,61.71
21:38:23,28.0,61.78
21:38:24,29.0,61.74
21:38:25,30.0,61.77
21:38:26,31.0,61.76
21:38:27,32.0,61.76
21:38:28,33.0,61.64
21:38:29,34.0,61.74
21:38:30,35.0,61.76
21:38:31,36.0,63.25
21:38:32,37.0,65.02
21:38:33,38.0,64.89
21:38:34,39.0,65.04
21:38:35,40.0,64.94
21:38:36,41.0,65.09
21:38:37,42.0,65.03
21:38:38,43.1,64.86
21:38:39,44.1,64.98
21:38:40,45.1,65.01
21:38:41,46.1,65.07
21:38:42,47.1,65.02
21:38:43,48.1,64.90
21:38:44,49.1,65.01
21:38:45,50.1,64.99
21:38:46,51.1,65.09
21:38:47,52.1,64.97
21:38:48,53.1,64.90
21:38:49,54.1,65.00
21:38:50,55.1,65.05
21:38:51,56.1,65.08
21:38:52,57.1,64.94
21:38:53,58.1,64.91
21:38:54,59.1,64.94
21:38:55,60.1,65.09
21:38:56,61.1,65.07
21:38:57,62.1,64.91
21:38:58,63.1,64.94
21:38:59,64.1,65.05
21:39:00,65.1,65.06
21:39:01,66.1,65.03
21:39:02,67.1,64.94
21:39:03,68.1,65.00
21:39:04,69.1,65.04
21:39:05,70.1,65.13
21:39:06,71.1,64.98
21:39:07,72.1,64.97
21:39:08,73.1,65.04
21:39:09,74.1,65.03
21:39:10,75.1,65.07
21:39:11,76.1,65.01
21:39:12,77.1,65.00
21:39:13,78.1,65.02
21:39:14,79.1,65.03
21:39:15,80.1,64.99
21:39:16,81.1,65.06
21:39:17,82.1,65.00
21:39:18,83.1,65.08
21:39:19,84.1,65.04
21:39:20,85.1,64.96
21:39:21,86.1,64.98
21:39:22,87.1,65.06
21:39:23,88.1,65.08
21:39:24,89.1,65.01
21:39:25,90.1,64.93
21:39:26,91.1,65.02
21:39:27,92.1,65.08
21:39:28,93.1,65.00
21:39:29,94.1,65.10
21:39:30,95.1,64.89
21:39:31,96.1,65.10
21:39:32,97.1,64.96
21:39:33,98.1,65.07
21:39:34,99.1,65.10
21:39:35,100.1,64.93
21:39:36,101.1,65.01
21:39:37,102.1,65.00
21:39:38,103.1,64.99
21:39:39,104.1,65.09
21:39:40,105.1,64.90
21:39:41,106.1,65.01
21:39:42,107.1,65.00
21:39:43,108.1,65.03
21:39:44,109.1,65.04
21:39:45,110.1,64.99
21:39:46,111.1,65.01
21:39:47,112.1,65.03
21:39:48,113.1,64.99
21:39:49,114.1,65.06
21:39:50,115.1,65.01
