Timestamp,Elapsed(s),Power(W)
20:56:57,1.0,3.93
20:56:58,2.0,2.74
20:56:59,3.0,3.55
20:57:00,4.0,3.91
20:57:01,5.0,4.46
20:57:02,6.0,3.93
20:57:03,7.0,3.27
20:57:04,8.0,4.67
20:57:05,9.0,3.20
20:57:06,10.0,3.82
20:57:07,11.0,3.89
20:57:08,12.0,3.60
20:57:09,13.0,3.21
20:57:10,14.0,3.26
20:57:11,15.0,3.61
20:57:12,16.0,3.28
20:57:13,17.0,3.47
20:57:14,18.0,3.32
20:57:15,19.0,3.26
20:57:16,20.0,3.73
20:57:17,21.0,3.23
20:57:18,22.0,3.38
20:57:19,23.0,3.21
20:57:20,24.0,3.14
20:57:21,25.0,3.77
20:57:22,26.0,3.37
20:57:23,27.0,3.26
20:57:24,28.0,3.51
20:57:25,29.0,3.23
20:57:26,30.0,3.34
20:57:27,31.0,3.36
20:57:28,32.1,3.04
20:57:29,33.1,5.36
20:57:30,34.1,3.23
20:57:31,35.1,3.52
20:57:32,36.1,3.27
20:57:33,37.1,3.25
20:57:34,38.1,3.43
20:57:35,39.1,3.39
20:57:36,40.1,3.75
20:57:37,41.1,3.32
20:57:38,42.1,3.49
20:57:39,43.1,3.29
20:57:40,44.1,3.26
20:57:41,45.1,3.17
20:57:42,46.1,3.32
20:57:43,47.1,3.37
20:57:44,48.1,3.19
20:57:45,49.1,3.28
20:57:46,50.1,3.53
20:57:47,51.1,3.32
20:57:48,52.1,3.04
20:57:49,53.1,3.23
20:57:50,54.1,3.65
20:57:51,55.1,3.26
20:57:52,56.1,3.19
20:57:53,57.1,3.47
20:57:54,58.1,3.16
20:57:55,59.1,3.46
20:57:56,60.1,5.34
20:57:57,61.1,3.26
20:57:58,62.1,3.26
20:57:59,63.1,3.29
20:58:00,64.1,3.11
20:58:01,65.1,3.51
20:58:02,66.1,3.25
20:58:03,67.1,3.44
20:58:04,68.1,3.34
20:58:05,69.1,3.32
20:58:06,70.1,3.78
20:58:07,71.1,3.30
20:58:08,72.1,3.49
20:58:09,73.1,3.05
20:58:10,74.1,3.48
20:58:11,75.1,3.25
20:58:12,76.1,3.25
20:58:13,77.1,3.48
20:58:14,78.1,3.06
20:58:15,79.1,3.11
20:58:16,80.1,3.17
20:58:17,81.1,3.17
20:58:18,82.1,3.40
20:58:19,83.1,3.23
20:58:20,84.1,3.12
20:58:21,85.1,3.46
20:58:22,86.1,3.23
20:58:23,87.1,3.31
20:58:24,88.1,3.26
20:58:25,89.1,4.26
20:58:26,90.1,3.35
20:58:27,91.1,3.24
20:58:28,92.1,3.23
20:58:29,93.1,3.19
20:58:30,94.1,3.33
20:58:31,95.1,3.79
20:58:32,96.1,3.20
20:58:33,97.1,3.40
20:58:34,98.2,3.28
20:58:35,99.2,3.36
20:58:36,100.2,3.55
20:58:37,101.2,3.48
20:58:38,102.2,3.32
20:58:39,103.2,3.21
20:58:40,104.2,3.24
20:58:41,105.2,3.81
20:58:42,106.2,3.13
20:58:43,107.2,3.23
20:58:44,108.2,3.06
20:58:45,109.2,3.13
20:58:46,110.2,3.42
20:58:47,111.2,3.28
20:58:48,112.2,3.26
20:58:49,113.2,3.18
20:58:50,114.2,3.12
20:58:51,115.2,3.74
20:58:52,116.2,3.49
20:58:53,117.2,4.08
20:58:54,118.2,3.13
20:58:55,119.2,3.43
20:58:56,120.2,3.56
20:58:57,121.2,3.08
20:58:58,122.2,3.27
20:58:59,123.2,3.12
20:59:00,124.2,3.07
20:59:01,125.2,3.75
20:59:02,126.2,3.09
20:59:03,127.2,3.00
20:59:04,128.2,3.08
20:59:05,129.2,3.15
20:59:06,130.2,3.89
20:59:07,131.2,3.28
20:59:08,132.2,3.47
20:59:09,133.2,3.55
20:59:10,134.2,3.57
20:59:11,135.2,3.54
20:59:12,136.2,3.22
20:59:13,137.2,3.34
20:59:14,138.2,3.19
20:59:15,139.2,3.35
20:59:16,140.2,3.74
20:59:17,141.2,3.14
20:59:18,142.2,3.44
20:59:19,143.2,3.30
20:59:20,144.2,3.46
20:59:21,145.2,3.46
20:59:22,146.2,5.53
20:59:23,147.2,3.34
20:59:24,148.2,3.46
20:59:25,149.2,3.42
20:59:26,150.2,3.83
20:59:27,151.2,3.24
20:59:28,152.2,3.23
20:59:29,153.2,3.12
20:59:30,154.2,2.98
20:59:31,155.2,3.36
20:59:32,156.2,3.26
20:59:33,157.2,3.18
20:59:34,158.3,3.20
20:59:35,159.3,3.32
20:59:36,160.3,3.66
20:59:37,161.3,3.23
20:59:38,162.3,3.29
20:59:39,163.3,3.40
20:59:40,164.3,3.33
20:59:41,165.3,3.63
20:59:42,166.3,3.76
20:59:43,167.3,3.28
20:59:44,168.3,3.27
20:59:45,169.3,3.43
20:59:46,170.3,3.94
20:59:47,171.3,3.51
20:59:48,172.3,3.58
20:59:49,173.3,3.11
20:59:50,174.3,4.90
20:59:51,175.3,3.89
20:59:52,176.3,3.30
20:59:53,177.3,3.05
20:59:54,178.3,3.31
20:59:55,179.3,3.18
20:59:56,180.3,3.20
20:59:57,181.3,3.22
20:59:58,182.3,3.14
20:59:59,183.3,3.27
21:00:00,184.3,3.21
21:00:01,185.3,4.06
21:00:02,186.3,4.03
21:00:03,187.3,3.87
21:00:04,188.3,5.41
21:00:05,189.3,3.41
21:00:06,190.3,3.83
21:00:07,191.3,3.65
21:00:08,192.3,4.28
21:00:09,193.3,3.76
